filename,collection,cycle,file_size_bytes,sha256
"cchs_2012s_qu_m_en_1_v1.pdf","master","",8526154,"bab6adb274d91397eed85f5a6adf82237175b5f0604a326ead23b835b907a9a4"
"cchs_2012s_ug_m_en_1_v1.pdf","master","",2558957,"8b60babed8079819fc90b4fb1e5cfa3a152416c1cf909692d6c443416b488c57"
"cchs_2013d_dd_m_en_1_v1.pdf","master","",3016966,"a946e45aa0eecb7215a17293da870deec872d834ccd03e9e52c10c7ca7a3ab58"
"cchs_2013d_dd_m_en_2_v1.pdf","master","",1591060,"27187a7ac6d92890c5eb225d94b3e051c2513fd511d363219a3dc2ae00ed0521"
"cchs_2013d_dv_m_en_1_v1.pdf","master","",1087508,"c4822e5d7cdafbc49d586bf9b1ff0003dc9db39249bbb001fbb4f10922da5c06"
"cchs_2013d_dv_m_en_2_v1.pdf","master","",774413,"007d1edface33264557cf73f491653673a8480122516cb0f4ddc233e70c9ad93"
"cchs_2013d_qu_m_en_1_v1.pdf","master","",3161198,"755e3de2290f987140e346537dfc2eb81fc08fa9976c9fcafe929d07ed03c53d"
"cchs_2013d_ug_m_en_1_v1.pdf","master","",1885903,"23f66eeda7f5cd4049e917fdaf76d1008e6cd8de3c0573cda8623a31d6216cfd"
"cchs_2014d_dd_m_en_1_v1.pdf","master","",3074937,"25acb9898b40690b40bdd4f4177768f6749de44ad1ac3eb0921d32f50dd8c75f"
"cchs_2014d_dv_m_en_1_v1.pdf","master","",1112667,"bbebc6a9248970e7ac351c99476fe5725911a3e951633f9d3c278a13e67ee666"
"cchs_2014d_qu_m_en_1_v1.pdf","master","",2039916,"fe47e18559cafa81e4bb2893c78f4ab27b70fec45907d95cc8b774ae359babfc"
"cchs_2014d_ug_m_en_1_v1.pdf","master","",1767439,"f5a92ea1525bafc5227b021a5bbc463367bcffbb3248c9f813164f2359fea02f"
"cchs_2015s_dd_m_en_1_v1.pdf","master","",4475675,"680e4beb8e2d22a0e38e61cfab553db96856b8dfc49b29c14799bd46347af849"
"cchs_2015s_dd_s_en_1_v1.pdf","master","",4474457,"be58a03f57f1f502ee81ae07617064105358caee757dcc016ad98e370d03ddec"
"cchs_2015s_dv_m_en_1_v1.pdf","master","",1323378,"cc4472a167950070be43a87609455b1a6dfb49464a1b2f0c9eb31a9d91da6b01"
"cchs_2015s_dv_s_en_1_v1.pdf","master","",1305791,"836eb75b1c7ad3b8fe7e76326046c21fd1b10ae0ad818f1edf4e553f38727f12"
"cchs_2015s_qu_m_en_1_v1.pdf","master","",2845787,"d8cc30ebd783db26160088ad6bb103a5f54a7716edd9bf8f1671f24449f08f18"
"cchs_2015s_qu_s_en_1_v1.pdf","master","",2845787,"d8cc30ebd783db26160088ad6bb103a5f54a7716edd9bf8f1671f24449f08f18"
"cchs_2015s_ug_m_en_1_v1.pdf","master","",1088878,"02d750d687ea89cafbf3e20e70a477c711764afd02a062448e814dd03edb5f06"
"cchs_2015s_ug_s_en_1_v1.pdf","master","",1088878,"02d750d687ea89cafbf3e20e70a477c711764afd02a062448e814dd03edb5f06"
"cchs_2016s_dd_m_en_1_v1.pdf","master","",4383548,"6d2a525a30fb6ef08895fa823d65f61c9d6634cc1ee539eeb52b03203eb5960b"
"cchs_2016s_dd_s_en_1_v1.pdf","master","",4302395,"e20d94354b32543872e6842f0b7be4ccfe830c705dd6382b4a0edb5c34d18bdf"
"cchs_2016s_dv_m_en_1_v1.pdf","master","",1158857,"6c48396d4abe6c519e9818211ee6e18c8a56c3750d56bc9e1c0688705d71533c"
"cchs_2016s_dv_s_en_1_v1.pdf","master","",1130753,"7db7b56384cb4dbadb152dfbbcda15fa5c9fcf04c5309588b795442c27bf00cd"
"cchs_2016s_ot_m_en_1_v1.pdf","master","",1404162,"75c6e6e7ea006611b4f6d6fb6144dc044f7776d0b61cba8ce62d0e91c9c99e25"
"cchs_2016s_ot_m_en_2_v1.pdf","master","",1287280,"a21f952a158838d9a849dca4ff66ff9b666b02697a5d758825b90e2c1ce0bc78"
"cchs_2016s_qu_m_en_3_v1.pdf","master","",4204957,"f8792239b8da16d6d5fee892cab9757126c811768114c80e299a5dd8b1a721bb"
"cchs_2016s_qu_s_en_1_v1.pdf","master","",4204957,"f8792239b8da16d6d5fee892cab9757126c811768114c80e299a5dd8b1a721bb"
"cchs_2016s_ug_m_en_1_v1.pdf","master","",2082462,"3f1ff244d316e50b18b9beaba3d09eea31963d3126fd349e5e15a982919390d0"
"cchs_2016s_ug_s_en_1_v1.pdf","master","",2082462,"3f1ff244d316e50b18b9beaba3d09eea31963d3126fd349e5e15a982919390d0"
